City,Price,Day,Shared Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km)
Amsterdam,528.202844890212,Weekday,False,4,False,1,0,10,93,1,4.29556086263506,0.183175078206381
Amsterdam,675.602840203407,Weekday,False,2,False,0,0,10,94,1,3.37209729167424,2.13868386436177
Amsterdam,675.602840203407,Weekday,False,4,True,0,0,10,98,1,1.96085686532502,0.500426586761092
Amsterdam,515.782813488623,Weekday,False,3,False,0,0,9,97,1,3.14129480118786,2.27045175554617
Amsterdam,442.668666369836,Weekday,False,2,False,0,0,10,100,1,1.6809149161304,0.204161187927555
Amsterdam,596.161507276264,Weekday,False,4,False,0,0,10,98,3,1.93439238266762,0.281149414077015
Amsterdam,920.488365008319,Weekday,False,4,True,0,0,10,99,3,1.24754518281914,0.939539308934614
Amsterdam,718.955780001406,Weekday,False,2,False,0,0,10,100,1,2.87036325276402,0.669930144155619
Amsterdam,276.521453846695,Weekday,False,2,True,1,0,10,96,1,7.72305317954697,3.24633619604638
Amsterdam,988.212687179247,Weekday,False,4,False,0,0,9,98,3,2.06498056439576,0.125608174072054
Amsterdam,270.428608253462,Weekday,False,2,True,1,0,10,98,1,2.47350256667464,0.334831739774445
Amsterdam,798.631453143674,Weekday,False,4,False,1,0,8,87,2,0.218366101609283,0.259151218834828
Amsterdam,3637.66315937478,Weekday,False,4,False,0,0,10,97,3,0.724210661306788,0.186369812340639
Amsterdam,479.460080144354,Weekday,False,3,False,0,0,9,92,1,2.01001697210564,1.47509217401912
Amsterdam,934.08009748553,Weekday,False,2,True,1,0,10,99,1,1.154753564431,1.28467007861786
Amsterdam,639.045766644014,Weekday,False,4,False,1,0,10,94,2,1.83763289815231,1.58423875946511
Amsterdam,1474.93731399245,Weekday,False,5,True,1,0,10,99,2,1.08879778735449,1.21252223290019
Amsterdam,1020.08295643615,Weekday,False,4,True,0,0,9,96,2,1.38880790068397,0.126951124374191
Amsterdam,1192.0886743374,Weekday,False,4,False,0,0,10,98,2,0.711000885262666,0.895746766800716
Amsterdam,798.631453143674,Weekday,False,2,False,0,0,10,99,1,3.41830516036666,1.17431127765865
Amsterdam,854.404424343262,Weekday,False,4,False,0,0,10,98,3,3.38582616015706,0.85919610209346
Amsterdam,614.440044055961,Weekday,False,2,False,1,0,8,78,1,3.68110190227081,0.626136339458819
Amsterdam,283.786000515549,Weekday,False,2,False,0,0,9,92,1,1.18761862490411,0.774562702099791
Amsterdam,870.105218756591,Weekday,False,4,False,0,0,10,98,3,3.76905312006599,1.52720574037299
Amsterdam,180.2076254306,Weekday,False,2,False,1,0,9,90,1,2.19643678625704,1.88728663343738
Amsterdam,242.07344222342,Weekday,False,2,True,0,0,10,97,1,8.28332763214961,0.595111945318158
Amsterdam,418.062943781783,Weekday,False,4,False,1,0,9,91,1,3.75214155978832,2.47991504229486
Amsterdam,281.442598364305,Weekday,False,2,False,0,0,10,92,1,2.407442724473,1.34435153789995
Amsterdam,215.124317484123,Weekday,False,2,False,0,1,10,93,1,8.56840750623002,0.809357860749912
Amsterdam,448.527171747944,Weekday,False,2,False,1,0,10,97,1,1.10116448384351,0.351560864082245
